Model,Dataset,Building,Abs_Error
VMD_Optuna_TCN,cross,Hog,1.7370442303419082
VMD_Optuna_TCN,cross,Hog,1.4050572888851178
VMD_Optuna_TCN,cross,Hog,0.399317960321909
VMD_Optuna_TCN,cross,Hog,0.03680605770647105
VMD_Optuna_TCN,cross,Hog,0.9521518621146896
VMD_Optuna_TCN,cross,Hog,1.3670087916851088
VMD_Optuna_TCN,cross,Hog,1.2656138390004656
VMD_Optuna_TCN,cross,Hog,0.3237889094352653
VMD_Optuna_TCN,cross,Hog,1.2509274247884719
VMD_Optuna_TCN,cross,Hog,1.1405566642880416
VMD_Optuna_TCN,cross,Hog,1.372991200923913
VMD_Optuna_TCN,cross,Hog,0.22126465487480118
VMD_Optuna_TCN,cross,Hog,0.48869537615775727
VMD_Optuna_TCN,cross,Hog,0.1612107239961631
VMD_Optuna_TCN,cross,Hog,1.4021166769862177
VMD_Optuna_TCN,cross,Hog,1.0415686274766927
VMD_Optuna_TCN,cross,Hog,0.715595355570315
VMD_Optuna_TCN,cross,Hog,0.31278515666723194
VMD_Optuna_TCN,cross,Hog,0.7923629055023227
VMD_Optuna_TCN,cross,Hog,1.4086480155587182
VMD_Optuna_TCN,cross,Hog,0.4713482505083064
VMD_Optuna_TCN,cross,Hog,0.3680372832119403
VMD_Optuna_TCN,cross,Hog,1.5948193380832691
VMD_Optuna_TCN,cross,Hog,0.7650428807735423
VMD_Optuna_TCN,cross,Hog,0.3474456257820151
VMD_Optuna_TCN,cross,Hog,0.9167797909975093
VMD_Optuna_TCN,cross,Hog,1.247207030892369
VMD_Optuna_TCN,cross,Hog,0.8631460989713702
VMD_Optuna_TCN,cross,Hog,0.8775489626973894
VMD_Optuna_TCN,cross,Hog,1.8323081207275322
VMD_Optuna_TCN,cross,Hog,1.378985464692093
VMD_Optuna_TCN,cross,Hog,1.2288927080631282
VMD_Optuna_TCN,cross,Hog,0.2243372558355361
VMD_Optuna_TCN,cross,Hog,0.17294580817222993
VMD_Optuna_TCN,cross,Hog,0.14199122637510442
VMD_Optuna_TCN,cross,Hog,0.1871348750591295
VMD_Optuna_TCN,cross,Hog,0.07789492678642063
VMD_Optuna_TCN,cross,Hog,0.2698484675884245
VMD_Optuna_TCN,cross,Hog,0.1686680422723299
VMD_Optuna_TCN,cross,Hog,0.1232644038796451
VMD_Optuna_TCN,cross,Hog,1.1802130962610278
VMD_Optuna_TCN,cross,Hog,0.10516778438538665
VMD_Optuna_TCN,cross,Hog,0.10399044537544455
VMD_Optuna_TCN,cross,Hog,0.3750595450401306
VMD_Optuna_TCN,cross,Hog,0.37332091069222173
VMD_Optuna_TCN,cross,Hog,1.1579206659793826
VMD_Optuna_TCN,cross,Hog,0.9178717801570926
VMD_Optuna_TCN,cross,Hog,1.1256506206989272
VMD_Optuna_TCN,cross,Hog,0.56672612029314
VMD_Optuna_TCN,cross,Hog,0.9087492444515135
VMD_Optuna_TCN,cross,Hog,0.19843151769042322
VMD_Optuna_TCN,cross,Hog,0.26230681270361345
VMD_Optuna_TCN,cross,Hog,0.03007557038962716
VMD_Optuna_TCN,cross,Hog,1.5791442320347073
VMD_Optuna_TCN,cross,Hog,1.172169411450625
VMD_Optuna_TCN,cross,Hog,1.7074001377224874
VMD_Optuna_TCN,cross,Hog,1.6703496071100261
VMD_Optuna_TCN,cross,Hog,0.8259856520891162
VMD_Optuna_TCN,cross,Hog,0.10609093630313993
VMD_Optuna_TCN,cross,Hog,0.8670034233331663
VMD_Optuna_TCN,cross,Hog,0.2864098356068112
VMD_Optuna_TCN,cross,Hog,0.16786197400092817
VMD_Optuna_TCN,cross,Hog,0.7805868184864551
VMD_Optuna_TCN,cross,Hog,0.18158657264709177
VMD_Optuna_TCN,cross,Hog,0.07535735827684675
VMD_Optuna_TCN,cross,Hog,0.06451162739097782
VMD_Optuna_TCN,cross,Hog,0.04905519667268976
VMD_Optuna_TCN,cross,Hog,0.2884471314549444
VMD_Optuna_TCN,cross,Hog,0.4826289098262819
VMD_Optuna_TCN,cross,Hog,0.9421396132707471
VMD_Optuna_TCN,cross,Hog,0.9079296066760989
VMD_Optuna_TCN,cross,Hog,0.10025022315979015
VMD_Optuna_TCN,cross,Hog,0.5583756618015485
VMD_Optuna_TCN,cross,Hog,0.3776645128726983
VMD_Optuna_TCN,cross,Hog,0.10099337732792435
VMD_Optuna_TCN,cross,Hog,0.9544129258394207
VMD_Optuna_TCN,cross,Hog,1.1601071472167916
VMD_Optuna_TCN,cross,Hog,0.02100644457340195
VMD_Optuna_TCN,cross,Hog,1.1529719535112406
VMD_Optuna_TCN,cross,Hog,0.021513383150107757
VMD_Optuna_TCN,cross,Hog,0.46594666355848346
VMD_Optuna_TCN,cross,Hog,0.049342637300483716
VMD_Optuna_TCN,cross,Hog,0.49633884394168604
VMD_Optuna_TCN,cross,Hog,0.671055364787577
VMD_Optuna_TCN,cross,Hog,0.6018016721010184
VMD_Optuna_TCN,cross,Hog,0.07218409085273692
VMD_Optuna_TCN,cross,Hog,0.7941633238792392
VMD_Optuna_TCN,cross,Hog,0.08786674672365535
VMD_Optuna_TCN,cross,Hog,0.31303153467178646
VMD_Optuna_TCN,cross,Hog,0.09674480175972633
VMD_Optuna_TCN,cross,Hog,0.4153623545765939
VMD_Optuna_TCN,cross,Hog,0.4616856856346132
VMD_Optuna_TCN,cross,Hog,0.3043224107474103
VMD_Optuna_TCN,cross,Hog,0.48933517378568325
VMD_Optuna_TCN,cross,Hog,1.4439924696683875
