Model,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,Training_Time_sec,Testing_Time_sec,N_Points,Seed
TCN,test,Wolf,19.90361129022112,597.7503473027097,24.44893345941106,8.004239324880807,8.273067761067647,0.9147571817472568,96.4582,0.0329,3264,42
TCN,holdout,Wolf,20.325577042662065,680.1649009112738,26.07997125978619,9.493378640335418,9.597251211931363,0.8864845087645364,96.4582,0.0081,648,42
TCN,test,Bull,4.743107701049132,26.18139997072713,5.116776326040364,24.45819046214891,21.316613250844576,-3.2089568143683698,96.4582,0.0246,3264,42
TCN,holdout,Bull,5.020528322384681,29.434994991756103,5.425402749267201,26.096882003108213,22.548967779751397,-1.4330300165175585,96.4582,0.0054,648,42
TCN,test,Robin,9.15137346911034,138.68286094767402,11.77636875049665,6.47071914596834,6.569971768884731,0.9226225189880616,96.4582,0.0261,3264,42
TCN,holdout,Robin,10.527022935675593,206.58274279142992,14.372986564782906,8.43791218505545,7.893812831465559,0.8492052457215697,96.4582,0.0053,648,42
TCN,test,Fox,4.477898717534309,36.628783184338594,6.052171774193012,5.227030038053522,5.149558887569027,0.8534837594774588,96.4582,0.026,3264,42
TCN,holdout,Fox,3.499510483682892,27.118229294466968,5.207516614900712,5.253603217823272,4.9144786604613415,0.7728701904660729,96.4582,0.0054,648,42
TCN,test,Rat,7.690355164023006,95.48674245733618,9.771731804410935,25.29797039611605,21.18812263079663,0.7700330751156929,96.4582,0.0265,3264,42
TCN,holdout,Rat,6.000069793889551,50.20091930081257,7.085260708034149,25.814699858308714,21.755677874619135,0.5265980071422154,96.4582,0.0053,648,42
TCN,test,Eagle,4.397255305652993,27.614640293999265,5.254963396066548,13.784607975552337,12.687376345626161,0.34703397207968634,96.4582,0.0258,3264,42
TCN,holdout,Eagle,4.295232089497131,21.21402765401635,4.605868827269872,13.398767723407525,12.510347598477281,-0.3047015696896429,96.4582,0.007,648,42
TCN,cross,Hog,2.0751956596679078,8.149878467716976,2.8547991991936974,3.110405498590004,3.072309309660315,0.7609752698713068,96.4582,0.0353,4008,42
VMD_TCN,test,Wolf,12.268833199590267,250.36700294431355,15.822989696777078,5.482293216696547,5.395702350332675,0.9642961496805986,562.8811,0.147,3264,42
VMD_TCN,holdout,Wolf,12.245523902115327,246.19620395780873,15.690640648418684,5.915422821999637,5.8005748892492965,0.9589113125432759,562.8811,0.03,648,42
VMD_TCN,test,Bull,0.46285412174401286,0.7042862790978579,0.8392176589525854,2.294696217167319,2.2775060935705755,0.8867779974718921,562.8811,0.1466,3264,42
VMD_TCN,holdout,Bull,0.5999149592448935,0.7887836073620828,0.8881349038080211,2.8938075027974963,2.8723562332256467,0.9348009335898837,562.8811,0.0298,648,42
VMD_TCN,test,Robin,4.5021622917370925,35.605782459937465,5.967058107638761,3.52525993665507,3.4891141809456876,0.980133913178727,562.8811,0.1462,3264,42
VMD_TCN,holdout,Robin,5.292281906185403,65.74716467065036,8.108462534331053,4.090580509699341,3.960803755292893,0.9520079586172214,562.8811,0.0299,648,42
VMD_TCN,test,Fox,2.111947927580484,8.13449973672664,2.8521044400103306,2.476249974396964,2.4615398093681615,0.9674617550367771,562.8811,0.1462,3264,42
VMD_TCN,holdout,Fox,1.8817788499917047,7.443613378236938,2.728298623361625,2.846915529682889,2.7271316802333216,0.937655719682697,562.8811,0.0301,648,42
VMD_TCN,test,Rat,3.513105245384107,22.956071870320137,4.791249510338628,9.933916484302001,9.796117735931663,0.9447134008388713,562.8811,0.1468,3264,42
VMD_TCN,holdout,Rat,2.0035328626474165,6.829794642072228,2.613387579765433,8.163592422092295,8.056130141399887,0.935594040121212,562.8811,0.0311,648,42
VMD_TCN,test,Eagle,1.6530786855198556,4.447996588184194,2.109027403374407,4.787557606960934,4.796903614112648,0.8948242441882949,562.8811,0.1463,3264,42
VMD_TCN,holdout,Eagle,0.7626598772206685,1.8159025895728262,1.347554299304049,2.211971860059697,2.2283318424767264,0.888318663590947,562.8811,0.0298,648,42
VMD_TCN,cross,Hog,0.7097899492341209,0.8384221507707813,0.9156539470623065,1.067454685372298,1.0682331720729916,0.975410231070839,562.8811,0.1786,4008,42
VMD_Optuna_TCN,test,Wolf,13.651235872903463,313.9260362590659,17.717958016065673,6.2817843630259285,6.01381461996151,0.9552322467491868,621.2309,0.1496,3264,42
VMD_Optuna_TCN,holdout,Wolf,13.059739304461155,281.92236733275774,16.790543985611595,6.47529607845375,6.222783196713431,0.9529488275928877,621.2309,0.0303,648,42
VMD_Optuna_TCN,test,Bull,0.531535905350894,0.7864159649040965,0.8868009725434994,2.6621831341483624,2.625202829375105,0.8735747195294368,621.2309,0.1499,3264,42
VMD_Optuna_TCN,holdout,Bull,0.6910469167374652,0.9883546523699512,0.9941602749908846,3.279338953915598,3.2692588560342455,0.9183048430327794,621.2309,0.0304,648,42
VMD_Optuna_TCN,test,Robin,6.992814277871401,77.8388353982417,8.822631999479617,5.384618079543867,5.241245812497209,0.9565701704820514,621.2309,0.1475,3264,42
VMD_Optuna_TCN,holdout,Robin,7.0755543235644325,102.34905440608824,10.116770947594308,5.456673507314249,5.30067051438036,0.9252904656930713,621.2309,0.0298,648,42
VMD_Optuna_TCN,test,Fox,2.5832246053480814,11.634577702867304,3.410949677563025,3.041945089694485,3.021070962842315,0.9534613373173597,621.2309,0.1473,3264,42
VMD_Optuna_TCN,holdout,Fox,2.536973066776026,10.77145202912814,3.2819890354978547,3.81966605604669,3.6583992812196353,0.9097832745193699,621.2309,0.0299,648,42
VMD_Optuna_TCN,test,Rat,3.9886726529506724,30.198235562708003,5.495292127149202,10.644089866748619,10.369652878458087,0.927271627551953,621.2309,0.1483,3264,42
VMD_Optuna_TCN,holdout,Rat,2.248436111141029,8.674476967266362,2.945246503650647,9.17504676629991,8.60498956837526,0.9181984166724936,621.2309,0.0319,648,42
VMD_Optuna_TCN,test,Eagle,1.8516748939514094,5.5280899715980585,2.351189054839712,5.264203309791263,5.279793447697852,0.8692847376496556,621.2309,0.1469,3264,42
VMD_Optuna_TCN,holdout,Eagle,0.7339138556353083,2.295313556055302,1.5150292261389884,2.0476995041071753,2.079247569589156,0.8588340107613512,621.2309,0.03,648,42
VMD_Optuna_TCN,cross,Hog,0.9157594093835792,1.3595104192617689,1.1659804540650622,1.3671965292650257,1.3654243203433438,0.9601274286041935,621.2309,0.1797,4008,42
