Model,Epoch,Train_Loss,Val_Loss,Best_Val_Loss,Saved_Best,Learning_Rate,Seed,Best_Optuna_LR
VMD_TCN,22,0.4311340115637308,0.34877348338063235,0.34872527209780557,0,,42,0.0001
VMD_TCN,23,0.4299652024448223,0.3485940526649777,0.3485940526649777,1,,42,0.0001
VMD_TCN,24,0.4291933899964505,0.3472600965667887,0.3472600965667887,1,,42,0.0001
VMD_TCN,25,0.4283684914997218,0.346659541091305,0.346659541091305,1,,42,0.0001
VMD_Optuna_TCN,1,0.520392796452049,0.38378707580143817,0.38378707580143817,1,,42,0.0006354733199410709
VMD_Optuna_TCN,2,0.46266057922033316,0.3694202798958306,0.3694202798958306,1,,42,0.0006354733199410709
VMD_Optuna_TCN,3,0.44924971952236836,0.36282357736623183,0.36282357736623183,1,,42,0.0006354733199410709
VMD_Optuna_TCN,4,0.4422296560726758,0.3581015189309413,0.3581015189309413,1,,42,0.0006354733199410709
VMD_Optuna_TCN,5,0.43798463617816924,0.3590364685581862,0.3581015189309413,0,,42,0.0006354733199410709
VMD_Optuna_TCN,6,0.4347936150792756,0.35541314291737297,0.35541314291737297,1,,42,0.0006354733199410709
VMD_Optuna_TCN,7,0.4325445700672061,0.3555612593529323,0.35541314291737297,0,,42,0.0006354733199410709
VMD_Optuna_TCN,8,0.43023909759801826,0.3543802775539602,0.3543802775539602,1,,42,0.0006354733199410709
VMD_Optuna_TCN,9,0.4285182825543457,0.3518390037102426,0.3518390037102426,1,,42,0.0006354733199410709
VMD_Optuna_TCN,10,0.4270311927382633,0.35959053669902974,0.3518390037102426,0,,42,0.0006354733199410709
VMD_Optuna_TCN,11,0.4258129514968285,0.354079860394244,0.3518390037102426,0,,42,0.0006354733199410709
VMD_Optuna_TCN,12,0.42474648544167054,0.3524761372650022,0.3518390037102426,0,,42,0.0006354733199410709
VMD_Optuna_TCN,13,0.4234560815998732,0.35329785865933494,0.3518390037102426,0,,42,0.0006354733199410709
VMD_Optuna_TCN,14,0.42266492037654535,0.3528193809477269,0.3518390037102426,0,,42,0.0006354733199410709
VMD_Optuna_TCN,15,0.42215561827507747,0.35166803899755955,0.35166803899755955,1,,42,0.0006354733199410709
VMD_Optuna_TCN,16,0.4207143692025667,0.34882989840888257,0.34882989840888257,1,,42,0.0006354733199410709
VMD_Optuna_TCN,17,0.4201929065594921,0.34962848339296876,0.34882989840888257,0,,42,0.0006354733199410709
VMD_Optuna_TCN,18,0.41989236013167247,0.351374642014812,0.34882989840888257,0,,42,0.0006354733199410709
VMD_Optuna_TCN,19,0.41946496306539194,0.34735434941150245,0.34735434941150245,1,,42,0.0006354733199410709
VMD_Optuna_TCN,20,0.4179989599192644,0.3509375045932596,0.34735434941150245,0,,42,0.0006354733199410709
VMD_Optuna_TCN,21,0.4183696127402297,0.3518349386304543,0.34735434941150245,0,,42,0.0006354733199410709
VMD_Optuna_TCN,22,0.4178178775428388,0.3513884965591949,0.34735434941150245,0,,42,0.0006354733199410709
VMD_Optuna_TCN,23,0.4168153316217169,0.352621260768352,0.34735434941150245,0,,42,0.0006354733199410709
VMD_Optuna_TCN,24,0.41690541794962344,0.34990267682504905,0.34735434941150245,0,,42,0.0006354733199410709
VMD_Optuna_TCN,25,0.4163146605459872,0.3513838152218807,0.34735434941150245,0,,42,0.0006354733199410709
