K,Alpha,Dataset,Building,MAE,MSE,RMSE,MAPE,SMAPE,R2,N_Points
8,2000,test,Eagle,0.980292124101616,1.5275450847013499,1.2359389486141092,2.8824701485128106,2.8695262865395024,0.9635637132008934,3360
8,2000,holdout,Wolf,8.514727215966902,120.06919031936297,10.957608786563014,3.9918618566455857,3.9267065509273875,0.9801516636431669,744
8,2000,holdout,Bull,0.34536502451851625,0.23194242938549034,0.48160401720240076,1.67771753934863,1.6711147424730577,0.9797015463178455,744
8,2000,holdout,Robin,3.1570845560037117,24.570382240381303,4.956852049474676,2.4069531992853497,2.3588441696618245,0.983239744613628,744
8,2000,holdout,Fox,1.2629585136860797,3.123656327978648,1.7673868642656163,1.7851366674008928,1.7488358620691473,0.9810275204338983,744
8,2000,holdout,Rat,1.2543244899722077,2.805511709334909,1.6749661815496184,5.004152657875611,4.932960810318363,0.977237814011242,744
8,2000,holdout,Eagle,0.44096937172235146,0.7274514696904233,0.8529076560158334,1.2740322606734658,1.2683689286091393,0.9600801126315468,744
8,2000,cross,Hog,0.45994994838441516,0.38116991199390765,0.6173895949835142,0.6858694096064804,0.6852785239910837,0.9889350625495864,4104
6,1000,test,Wolf,7.1285227663560695,81.79232570342448,9.043910973877644,3.2019084365641577,3.157481229958877,0.9883577086815546,3360
6,1000,test,Bull,0.2932969344208696,0.2600822637899231,0.5099826112623087,1.4705906921364442,1.4548588051944475,0.957939439676858,3360
6,1000,test,Robin,2.4739972404214896,10.274430226243368,3.2053752083404166,1.9843175969336193,1.9618298953893343,0.994251282215803,3360
6,1000,test,Fox,1.3555934939258942,3.366032704182309,1.8346750949915653,1.603767630420606,1.5899725391727972,0.9867990715037306,3360
6,1000,test,Rat,2.2282799499178565,9.056006175938139,3.0093198859440213,6.320946045034434,6.157972324980827,0.9783102700909446,3360
6,1000,test,Eagle,1.0998467502733715,1.8984674692430632,1.3778488557323925,3.2401881162793225,3.2262013975342403,0.9547161613225718,3360
6,1000,holdout,Wolf,6.894117513183576,77.48847993326481,8.802754110689722,3.2402282228578843,3.2072149316359195,0.9871905739565304,744
6,1000,holdout,Bull,0.3106583399321723,0.2092141060934635,0.4573992851912468,1.5152943207534595,1.5087671516451608,0.9816906167041415,744
6,1000,holdout,Robin,2.0582228849937714,10.052952918650272,3.170639197173067,1.6601446303563705,1.6375912882772223,0.9931425544521306,744
6,1000,holdout,Fox,1.1460299525189963,2.5579307404927087,1.5993532256799023,1.6325322140596499,1.5960912752379715,0.9844636273616868,744
6,1000,holdout,Rat,1.019976663150001,1.865312539467453,1.3657644524102437,4.03573758964855,3.983256341567526,0.9848660082903071,744
6,1000,holdout,Eagle,0.4671994555646365,0.8626124190779169,0.9287693034752585,1.3380240586168681,1.3333529359630865,0.9526629719685991,744
6,1000,cross,Hog,0.37963276608007246,0.25448175322877226,0.5044618451664826,0.5685721270567656,0.5682425660949046,0.9926126785112227,4104
6,3000,test,Wolf,12.043852623963227,238.2923078473013,15.436719465200541,5.464297053009057,5.315706347240039,0.966081555414351,3360
6,3000,test,Bull,0.5423064650695126,0.7250676822224932,0.8515090617383312,2.7021208909472865,2.6766697076592587,0.882741896575027,3360
6,3000,test,Robin,5.585956104220942,48.33309711648901,6.952200882921106,4.454510405087603,4.3435686997293645,0.9729568132888594,3360
6,3000,test,Fox,2.0170192215982383,7.737472666288483,2.781631295892481,2.373551641052069,2.3430965195355484,0.9696551304202714,3360
6,3000,test,Rat,3.597606504455978,23.28765004228502,4.825727928746607,10.174624927119961,9.768892365450005,0.9442245477950507,3360
6,3000,test,Eagle,1.7680260985640384,4.883616346364753,2.2098905733915317,5.19201313976954,5.157691515467986,0.8835118861007363,3360
6,3000,holdout,Wolf,10.973585693184805,199.6308283355662,14.12907740567537,5.186867464723532,5.082527426833227,0.9669995290427261,744
6,3000,holdout,Bull,0.6004855761569596,0.6832041213606265,0.82656162586986,2.928615401696571,2.9054259257361257,0.9402093560473705,744
6,3000,holdout,Robin,4.394621635122612,47.141310096824505,6.865952963487626,3.4107808063577654,3.3125503315250318,0.9678433819734228,744
6,3000,holdout,Fox,1.7869510528528347,6.57154992907101,2.5635034482268617,2.546891297939103,2.462549984340372,0.9600856868823346,744
6,3000,holdout,Rat,1.7475633834942448,5.508828215010897,2.3470893069951337,6.855962115231924,6.7011630928716786,0.9553047766676681,744
6,3000,holdout,Eagle,0.7585694738957799,2.322254009433787,1.5238943563888498,2.1690390794759002,2.158254284507321,0.8725631573237635,744
6,3000,cross,Hog,1.3092282247895597,2.654125270153603,1.6291486335364258,1.9562576133061085,1.9555098442089076,0.9229537033860086,4104
